vehiculo_marca;vehiculo_modelo;vehiculo_traccion;vehiculo_id;vehiculo_cilindrada;vehiculo_potencia;vehiculo_tipo_transmision;vehiculo_tipo_combustible;vehiculo_standard_emision;lca_numero;fecha_firma;ensayo_gei_numero;ensayo_gei_laboratorio;emision_CO2;consumo_urbano;consumo_extraurbano;consumo_mixto;id_etiqueta
AUDI;COUPÉ 2 PUERTAS;4x2;AUDI DEMA / VALEO IST60S;1984;;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI c;154;21/9/2018;AUA5387A;ATE-EL LUXEMBOURG;131;7.2;4.9;5.8;000080A
AUDI;COUPÉ CONVERTIBLE 2 PUERTAS;4x2;AUDI DEMA / VALEO IST60S;1984;;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI c;154;21/9/2018;AUA5387A;ATE-EL LUXEMBOURG;139;7.6;5.3;6.1;000081A
AUDI;SEDÁN 4 PUERTAS;4x4;AUDI CXYA / CONTINENTAL BSG-HP1-65;3996;;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI b;155;21/9/2018;AUA5534A;ATE-EL LUXEMBOURG;228.0;13.8;7.9;10.1;000086A
AUDI;SEDÁN 4 PUERTAS;4x2;AUDI DEMA / VALEO IST60S;1984;;MANUAL;NAFTA / ELECTRICIDAD;EURO VI c;160;1/10/2018;AUA5402A;ATE-EL LUXEMBOURG;135;7.7;5.0;6.0;000096A
AUDI;RURAL 4 PUERTAS CON PORTÓN TRASERO;4x2;AUDI DEMA / VALEO IST60S;1984;;MANUAL;NAFTA / ELECTRICIDAD;EURO VI c;160;1/10/2018;AUA5402A;ATE-EL LUXEMBOURG;139;7.8;5.1;6.1;000097A
AUDI;SEDÁN 4 PUERTAS CON PORTÓN TRASERO;4x2;AUDI DEMA / VALEO IST60S;1984;;MANUAL;NAFTA / ELECTRICIDAD;EURO VI c;160;1/10/2018;AUA5402A;ATE-EL LUXEMBOURG;135;7.7;5.0;6.0;000098A
AUDI;COUPÉ 2 PUERTAS;4x2;AUDI DEMA / VALEO IST60S;1984;;MANUAL;NAFTA / ELECTRICIDAD;EURO VI c;160;1/10/2018;AUA5402A;ATE-EL LUXEMBOURG;134;7.7;4.9;5.9;000099A
AUDI;COUPÉ CONVERTIBLE 2 PUERTAS;4x2;AUDI DEMA / VALEO IST60S;1984;;MANUAL;NAFTA / ELECTRICIDAD;EURO VI c;160;1/10/2018;AUA5402A;ATE-EL LUXEMBOURG;140;7.9;5.2;6.2;000100A
AUDI;STATION WAGON - SUV - CROSSOVER 4 PUERTAS CON PORTÓN TRASERO;4x4;AUDI DCBD / CONTINENTAL BSG-HP1-65;2995;;AUTOMÁTICA;NAFTA / ELECTRICIDAD;EURO VI b;162;1/10/2018;AUA5507A;ATE-EL LUXEMBOURG;210;11.1;8;9.2;000095A
BAIC;SEDÁN 4/5 PUERTAS;4x2;BAIC A131;1322;;MANUAL;NAFTA;EURO V;137;8/10/2018;CSQ315897;VCA;237.48;9.9;6.06;7.5;000063A
